Mortimer,Inventory Management Software,1,2,3,3,2,1,2,need to improve the collaboration
Alis,Quality Assurance Management System,2,1,3,3,2,2,1,good
Farah,Vendor Relationship Management (VRM) Platform,2,2,1,3,1,3,3,good
Nathanil,Quality Assurance Management System,2,1,1,2,1,1,1,improve the requirement specification
Bruis,Customer Support Ticket System,1,2,3,3,3,2,1,improve the requirement specification
Rosaleen,Workflow Automation Platform,3,1,3,2,3,2,2,need to improve the collaboration
Valery,Procurement Management Solution,1,1,2,1,1,1,3,need to improve the time management
Katheryn,Human Resources Information System (HRIS),2,2,3,1,2,2,2,improve the requirement specification
Courtnay,Procurement Management Solution,2,1,1,1,3,1,2,need to improve
Margette,Producti,2,2,3,3,2,2,2,need to improve the collaboration
Rickie,Event Planning and Management Software,3,2,1,3,1,2,3,need to improve the collaboration
Antonius,Supply Chain Optimization Platform,3,1,1,3,3,3,1,need to improve
Lorenzo,Inventory Management Software,3,2,1,2,1,2,3,need to improve the collaboration
Brinn,Marketing Campaign Tracker,1,2,3,3,1,3,2,need to improve the collaboration
Erminie,Field Service Management Software,2,2,2,3,2,1,2,improve the requirement specification
Angelika,Market Research Analysis Tool,3,2,2,3,1,2,1,good
Conant,Producti,2,1,1,3,3,3,2,improve the requirement specification
Avery,Market Research Analysis Tool,1,1,1,1,1,3,2,need to improve the collaboration
Marigold,Field Service Management Software,2,2,3,2,1,1,3,improve the requirement specification
Lynsey,Event Planning and Management Software,2,1,3,3,2,3,1,need to improve the time management
Vince,Producti,3,2,3,3,3,1,3,need to improve the time management
Benoite,Product Lifecycle Management (PLM) Software,1,2,3,3,2,2,1,need to improve the time management
Bastian,Incident Reporting System,1,2,2,1,3,2,1,need to improve
Marigold,Business Intelligence Dashboard,3,2,1,1,2,2,1,improve the requirement specification
Trixi,Vendor Relationship Management (VRM) Platform,3,2,2,3,2,1,3,good
Berthe,Product Lifecycle Management (PLM) Software,3,3,3,1,1,1,1,improve the requirement specification
Lanae,Training and Development Platform,2,1,1,3,2,2,3,need to improve the collaboration
Garv,Product Lifecycle Management (PLM) Software,3,3,2,2,1,3,2,good
Roxanne,Customer Support Ticket System,3,2,1,2,3,1,1,need to improve
Allyn,Document Collaboration Platform,1,1,3,1,2,1,1,need to improve
Marcelline,Risk Management Software,1,1,3,3,1,1,1,need to improve
Bay,Sales Dashboard,1,1,3,3,3,3,1,improve the requirement specification
Maressa,Procurement Management Solution,1,1,3,1,1,1,3,need to improve the collaboration
Herold,Sales Dashboard,3,3,1,1,1,3,2,improve the requirement specification
Arliene,Help Desk Ticketing System,2,3,1,3,3,3,2,good
Sissy,Market Research Analysis Tool,2,2,1,2,2,2,2,need to improve
Winne,Customer Feedback Management Tool,2,1,2,3,2,3,3,need to improve the collaboration
Feodor,Inventory Management Software,3,2,2,2,2,1,3,need to improve the collaboration
Saxe,Field Service Management Software,3,2,3,2,1,1,1,need to improve
Almeria,Inventory Management Software,3,3,2,3,1,2,3,improve the requirement specification
Mae,Risk Management Software,3,1,1,1,2,2,2,need to improve the time management
Gwen,Sales Dashboard,1,1,3,2,1,3,2,need to improve the collaboration
Jerrold,Document Collaboration Platform,3,3,2,2,1,1,3,improve the requirement specification
Rickie,Facility Management System,3,3,1,1,2,3,1,good
Christiano,Document Collaboration Platform,2,1,1,1,3,3,1,improve the requirement specification
Darcey,Compliance Monitoring System,2,1,3,2,2,1,2,good
Wes,Help Desk Ticketing System,3,2,1,3,1,1,1,need to improve
Jobye,Event Planning and Management Software,1,2,3,3,3,2,3,need to improve the collaboration
Nollie,Customer Relationship Management (CRM) System,2,3,3,2,1,2,2,need to improve the collaboration
Avery,Project Planning Tool,3,3,2,1,3,1,2,need to improve
Ted,Product Lifecycle Management (PLM) Software,2,2,2,2,3,2,2,need to improve the time management
Filia,Customer Support Ticket System,1,3,2,2,2,3,2,need to improve the time management
Micheil,Inventory Management Software,1,2,2,3,1,3,3,good
Fairlie,Event Planning and Management Software,2,2,1,1,2,2,1,need to improve the collaboration
Ellary,Risk Management Software,3,3,2,1,1,3,2,need to improve
Barbie,Supply Chain Optimization Platform,2,3,2,2,1,3,1,need to improve
Floyd,Customer Feedback Management Tool,3,2,1,3,1,2,1,need to improve the time management
Bendix,Market Research Analysis Tool,3,1,1,1,2,1,1,improve the requirement specification
Mahmud,Customer Feedback Management Tool,3,3,2,2,3,2,1,need to improve the collaboration
Dodie,Producti,1,1,2,1,3,1,1,need to improve the collaboration
Olympia,Risk Management Software,2,1,3,2,3,1,3,need to improve the collaboration
Larine,Event Planning and Management Software,2,1,3,3,2,1,1,improve the requirement specification
Jandy,Product Lifecycle Management (PLM) Software,3,1,1,3,3,2,3,need to improve the collaboration
Jacquelin,Workflow Automation Platform,1,3,1,3,1,2,1,need to improve the time management
Melba,Compliance Monitoring System,1,3,3,1,3,2,2,need to improve the time management
Brigham,Product Lifecycle Management (PLM) Software,2,2,3,2,1,3,3,need to improve the collaboration
Arturo,Order Management System,1,3,2,3,3,3,3,need to improve the time management
Chaddy,Risk Management Software,2,1,1,2,2,3,1,need to improve the collaboration
Worthy,Facility Management System,3,3,1,2,1,1,2,need to improve
Cornelius,Incident Reporting System,1,1,2,2,2,2,1,need to improve the collaboration
Florian,Marketing Campaign Tracker,2,2,2,1,1,1,1,need to improve
Sherye,Document Collaboration Platform,1,2,3,1,3,3,1,improve the requirement specification
Hilary,Field Service Management Software,1,1,2,3,1,3,2,good
Filia,Customer Feedback Management Tool,2,2,2,3,1,1,3,good
Charleen,Producti,1,3,1,1,2,3,3,improve the requirement specification
Laughton,Facility Management System,2,3,1,2,1,1,1,need to improve the collaboration
Hamilton,Supply Chain Optimization Platform,2,3,2,1,1,1,3,need to improve the collaboration
