Shaw,Employee Performance Appraisal Tool,1,3,1,2,2,1,need to improve the collaboration
Jobye,Facility Management System,1,1,2,1,2,1,good
Darda,Risk Management Software,3,3,1,2,2,2,need to improve the collaboration
Terrel,Employee Performance Appraisal Tool,3,3,1,1,2,2,need to improve the time management
Almeria,Business Intelligence Dashboard,2,1,1,2,3,3,need to improve the collaboration
Abbe,Facility Management System,2,1,3,2,2,1,need to improve the collaboration
Marchall,Training and Development Platform,3,3,1,3,2,2,need to improve the collaboration
Micheil,Compliance Monitoring System,3,3,1,1,1,3,need to improve the time management
Cornelius,Supply Chain Optimization Platform,2,1,1,3,2,2,need to improve the time management
Den,Employee Performance Appraisal Tool,1,1,2,1,2,1,improve the requirement specification
Florentia,Help Desk Ticketing System,3,3,3,2,3,1,need to improve the collaboration
Marijn,Market Research Analysis Tool,3,2,3,2,2,3,good
Nicola,Market Research Analysis Tool,2,3,1,2,1,1,improve the requirement specification
Xylia,Customer Support Ticket System,3,1,2,1,1,3,good
Cornelius,Facility Management System,3,1,2,3,1,1,good
Kelsi,Producti,2,1,1,3,1,2,need to improve the time management
Kelly,Customer Support Ticket System,2,2,2,2,1,2,improve the requirement specification
Rozalin,Help Desk Ticketing System,1,2,2,3,3,1,improve the requirement specification
Lise,Customer Support Ticket System,3,2,2,1,3,1,need to improve the time management
Florian,Producti,2,3,1,1,2,1,improve the requirement specification
Gretta,Customer Feedback Management Tool,3,1,2,2,1,2,need to improve the time management
Staffard,Procurement Management Solution,1,1,1,2,1,1,need to improve the time management
Zachery,Marketing Campaign Tracker,3,1,3,1,2,3,need to improve the collaboration
Staffard,Facility Management System,3,1,3,1,2,2,need to improve
Adara,Inventory Management Software,1,1,2,1,2,1,improve the requirement specification
Culley,Inventory Management Software,2,1,2,2,3,3,good
Freeman,Customer Feedback Management Tool,3,1,2,3,3,2,improve the requirement specification
Ingunna,Producti,2,2,1,3,1,1,need to improve the time management
Sharla,Asset Tracking Application,2,2,1,3,3,3,need to improve
Nollie,Help Desk Ticketing System,2,1,1,1,1,2,good
Jenny,Producti,2,2,3,2,1,1,need to improve the collaboration
Basilio,Risk Management Software,1,3,1,2,3,1,need to improve
Orelie,Event Planning and Management Software,2,2,2,1,1,1,need to improve the collaboration
Vaclav,Producti,2,2,2,1,3,2,improve the requirement specification
Shir,Procurement Management Solution,3,3,2,2,3,2,good
Courtnay,Project Planning Tool,1,3,1,2,2,1,improve the requirement specification
Damaris,Producti,3,2,3,1,3,3,need to improve the collaboration
Jobye,Procurement Management Solution,1,1,1,3,2,2,need to improve the time management
Hedwiga,Marketing Campaign Tracker,2,1,3,1,1,2,improve the requirement specification
Carly,Supply Chain Optimization Platform,3,1,1,2,3,2,need to improve the collaboration
Earlie,Sales Dashboard,1,2,3,1,3,3,need to improve the collaboration
Ximenez,Producti,3,1,2,3,1,2,need to improve the collaboration
Ludwig,Risk Management Software,3,3,2,1,2,3,need to improve
Min,Supply Chain Optimization Platform,1,1,2,3,2,2,need to improve
Sansone,Marketing Campaign Tracker,1,1,1,2,2,1,need to improve
Jaimie,Marketing Campaign Tracker,2,2,3,1,2,1,improve the requirement specification
Tabbitha,Customer Relationship Management (CRM) System,2,1,3,3,2,3,good
Fanchette,Customer Feedback Management Tool,2,1,1,3,3,2,need to improve the collaboration
Kalli,Procurement Management Solution,2,2,3,1,3,3,good
Lishe,Workflow Automation Platform,3,2,1,3,2,3,good
Pansy,Asset Tracking Application,1,1,1,1,1,2,need to improve the time management
Ross,Document Collaboration Platform,2,3,1,3,1,3,good
Darcey,Quality Assurance Management System,3,2,2,1,3,2,good
Gustavo,Document Collaboration Platform,2,3,1,2,2,3,good
Eada,Event Planning and Management Software,1,2,3,3,1,1,need to improve the collaboration
Freeman,Quality Assurance Management System,3,3,2,2,2,1,need to improve the time management
Ode,Event Planning and Management Software,1,1,2,2,2,1,need to improve
