Giacobo,Customer Feedback Management Tool,3,3,2,2,1,1,2,2,good
Britteny,Supply Chain Optimization Platform,3,3,2,2,2,2,3,1,improve the requirement specification
Xylia,Market Research Analysis Tool,2,1,1,1,2,2,2,2,need to improve the time management
Laughton,Order Management System,3,1,2,2,3,2,3,1,need to improve the time management
Tara,Asset Tracking Application,2,3,2,3,2,3,2,3,need to improve the time management
Tommy,Field Service Management Software,2,1,2,1,3,2,3,2,improve the requirement specification
Selina,Product Lifecycle Management (PLM) Software,3,3,2,1,3,2,1,1,improve the requirement specification
Chick,Expense Report Management Software,3,2,3,3,1,1,2,3,need to improve the collaboration
Efrem,Market Research Analysis Tool,3,2,1,3,1,3,2,3,need to improve the collaboration
Jaimie,Expense Report Management Software,3,1,1,1,3,1,2,3,need to improve the time management
Barrie,Workflow Automation Platform,1,1,3,1,2,3,2,3,good
Avril,Producti,2,1,3,2,3,1,2,3,need to improve the collaboration
Gayler,Human Resources Information System (HRIS),1,3,1,2,3,2,3,1,need to improve the collaboration
Nissa,Training and Development Platform,2,2,2,3,1,1,2,1,improve the requirement specification
Ted,Inventory Management Software,3,3,2,3,1,2,2,2,need to improve the time management
Rozalin,Marketing Campaign Tracker,1,2,1,2,2,2,3,3,improve the requirement specification
Harris,Inventory Management Software,2,3,2,1,3,3,1,1,good
Olag,Sales Dashboard,2,2,2,1,1,3,1,1,good
Nico,Expense Report Management Software,2,3,1,3,1,1,2,1,need to improve the collaboration
Freeman,Inventory Management Software,3,2,2,2,2,2,3,2,good
Reese,Workflow Automation Platform,2,2,1,2,3,3,3,2,need to improve the time management
Vince,Workflow Automation Platform,1,1,1,2,3,1,3,2,good
Alexina,Event Planning and Management Software,2,3,1,2,3,1,2,3,improve the requirement specification
Emmalee,Facility Management System,1,1,2,1,3,2,1,3,need to improve the collaboration
Dodie,Producti,2,1,3,1,1,2,3,2,improve the requirement specification
Franchot,Event Planning and Management Software,2,2,1,3,1,3,1,1,need to improve the time management
Waylen,Facility Management System,2,1,1,2,3,2,3,1,good
Franchot,Product Lifecycle Management (PLM) Software,2,3,3,3,3,3,1,1,need to improve
Freeman,Accounts Payable Automation,2,3,1,3,3,3,1,1,good
Wenonah,Help Desk Ticketing System,2,2,1,3,2,1,1,3,need to improve
Cherri,Event Planning and Management Software,3,1,2,3,3,1,1,1,need to improve
Putnam,Customer Support Ticket System,3,2,1,2,1,1,2,2,need to improve the time management
Nico,Help Desk Ticketing System,3,1,1,3,3,2,2,3,need to improve the collaboration
Krispin,Quality Assurance Management System,3,3,1,2,3,3,1,1,need to improve the time management
Isabeau,Training and Development Platform,1,1,1,2,2,2,3,1,improve the requirement specification
Livvie,Producti,3,2,2,2,3,3,3,1,need to improve the time management
Nikoletta,Asset Tracking Application,2,1,1,3,2,3,1,2,need to improve
Gretta,Product Lifecycle Management (PLM) Software,1,3,2,2,2,3,2,2,good
Waylon,Sales Forecasting Application,1,1,2,2,1,2,2,3,good
Eada,Asset Tracking Application,2,3,2,1,3,2,1,3,improve the requirement specification
Wilfrid,Field Service Management Software,1,1,2,2,1,3,2,3,improve the requirement specification
Arch,Quality Assurance Management System,1,1,1,2,3,3,3,3,need to improve
Justino,Procurement Management Solution,2,3,2,2,2,1,3,3,good
