Jo ann,Producti,1,1,1,2,3,3
Leslie,Sales Forecasting Application,3,1,3,1,2,3
Spence,Customer Support Ticket System,1,3,2,3,1,1
Wilburt,Document Collaboration Platform,2,1,2,1,3,3
Josephina,Event Planning and Management Software,3,1,1,3,3,2
Lacey,Supply Chain Optimization Platform,3,1,2,1,3,2
Hartwell,Training and Development Platform,1,1,2,1,2,3
Corrianne,Order Management System,1,2,2,1,3,1
Sherye,Procurement Management Solution,1,2,1,3,2,3
Shayla,Producti,3,2,2,3,3,2
Laureen,Sales Forecasting Application,2,2,2,1,1,1
Rivi,Document Collaboration Platform,2,3,2,3,3,1
Nollie,Asset Tracking Application,3,3,3,1,2,1
Annaliese,Human Resources Information System (HRIS),3,1,3,3,3,2
Shauna,Workflow Automation Platform,1,2,1,3,3,3
Moselle,Customer Feedback Management Tool,1,2,1,2,2,2
Jody,Incident Reporting System,2,3,3,2,1,3
Cammy,Facility Management System,1,3,1,3,1,2
Velvet,Producti,3,1,3,2,2,3
Morgun,Help Desk Ticketing System,3,2,1,2,2,3
Deane,Risk Management Software,3,3,1,1,1,3
Margot,Training and Development Platform,3,1,2,3,3,2
Eugenius,Product Lifecycle Management (PLM) Software,3,2,3,1,3,2
Obie,Field Service Management Software,1,2,2,2,3,3
Wilfrid,Customer Feedback Management Tool,1,3,1,2,1,2
Allyn,Sales Forecasting Application,1,2,3,3,1,1
Odelia,Event Planning and Management Software,1,2,2,1,3,1
Hermie,Customer Support Ticket System,2,2,3,1,2,2
Loutitia,Product Lifecycle Management (PLM) Software,2,2,2,2,1,2
Rivi,Facility Management System,2,2,1,3,2,3
Terrel,Employee Performance Appraisal Tool,2,3,3,1,2,2
Sybille,Risk Management Software,1,2,2,3,1,3
Thorpe,Inventory Management Software,1,3,1,1,2,2
Shadow,Inventory Management Software,3,1,2,3,2,1
Adara,Asset Tracking Application,3,1,2,3,2,1
Laverne,Business Intelligence Dashboard,2,1,2,1,2,3
Dodie,Project Planning Tool,1,3,1,2,3,3
Lacey,Compliance Monitoring System,3,1,1,3,3,1
Otis,Business Intelligence Dashboard,3,3,3,1,1,1
Stavro,Marketing Campaign Tracker,2,1,1,1,3,2
Jefferey,Order Management System,3,3,1,1,3,2
Penelopa,Product Lifecycle Management (PLM) Software,1,2,1,1,3,3
Vaclav,Sales Dashboard,2,1,3,1,3,3
Deina,Help Desk Ticketing System,1,2,3,1,1,3
Deina,Customer Relationship Management (CRM) System,1,3,3,2,2,2
Jourdain,Document Collaboration Platform,2,3,2,1,3,1
Gae,Incident Reporting System,2,3,1,3,1,1
Earlie,Expense Report Management Software,1,2,2,1,3,3
Glynnis,Sales Forecasting Application,2,2,2,2,1,3
Hartwell,Marketing Campaign Tracker,3,2,3,1,1,2
Ric,Help Desk Ticketing System,3,2,1,3,3,3
Shaw,Human Resources Information System (HRIS),3,2,3,3,2,3
Winne,Facility Management System,2,2,3,1,2,1
Bendix,Training and Development Platform,2,3,3,1,1,3
Kennie,Employee Performance Appraisal Tool,3,2,3,2,1,2
Ted,Help Desk Ticketing System,2,1,3,2,2,1
Adara,Training and Development Platform,2,1,2,2,1,2
Allard,Producti,3,3,3,3,1,2
Amerigo,Risk Management Software,1,1,3,2,1,3
Petronille,Inventory Management Software,2,1,2,1,3,2
Markus,Inventory Management Software,3,2,1,2,2,3
Janette,Risk Management Software,2,1,2,2,1,1
Silvia,Market Research Analysis Tool,3,1,1,1,1,2
Olympia,Business Intelligence Dashboard,2,3,3,2,3,1
Haroun,Vendor Relationship Management (VRM) Platform,1,3,2,1,1,1
Joanie,Product Lifecycle Management (PLM) Software,1,3,2,2,3,3
Cordell,Product Lifecycle Management (PLM) Software,2,2,1,3,1,2
Cullan,Employee Performance Appraisal Tool,1,1,1,2,2,2
Emmalee,Expense Report Management Software,3,2,1,1,1,2
Maressa,Inventory Management Software,2,2,1,3,3,3
Hamnet,Accounts Payable Automation,2,1,3,1,1,3
Jaimie,Employee Performance Appraisal Tool,2,1,2,3,1,1
Ameline,Quality Assurance Management System,1,1,2,3,3,1
Sara,Business Intelligence Dashboard,3,3,2,3,3,1
Delainey,Accounts Payable Automation,2,1,2,1,2,1
Nissy,Workflow Automation Platform,2,2,2,2,1,3
Nydia,Sales Dashboard,2,1,1,3,2,1
Marchall,Help Desk Ticketing System,3,2,1,2,3,3
Niven,Producti,2,2,2,2,1,3
Meara,Business Intelligence Dashboard,2,3,3,2,3,1
Benoite,Sales Forecasting Application,2,1,2,2,1,2
Bendix,Incident Reporting System,3,2,1,3,2,3
Bria,Facility Management System,2,1,2,3,2,2
Kelsi,Incident Reporting System,1,1,3,2,1,2
Margarette,Product Lifecycle Management (PLM) Software,2,2,1,1,1,1
Selby,Customer Feedback Management Tool,1,2,1,1,2,1
Jo-ann,Supply Chain Optimization Platform,3,3,2,3,3,1
Tabbitha,Project Planning Tool,2,2,1,2,1,1
Loutitia,Risk Management Software,2,2,1,2,2,3
Anita,Customer Support Ticket System,2,2,3,3,3,3
Shayla,Incident Reporting System,3,1,3,1,3,1
Binni,Customer Feedback Management Tool,3,1,3,1,3,1
Jordana,Customer Feedback Management Tool,2,3,2,1,2,3
